distrito,ubigeo,denuncias_prev,denuncias_ult,pct_robo,pct_hurto,pct_extorsión,poblacion_2020,denuncias_x1000hab,crime_index_zone,var_anual,crime_trend_zone
LIMA,150101,34957,32046,0.099,0.295,0.049,397028.0,80.71,1.0,-0.083,estable
MIRAFLORES,150122,12841,9522,0.061,0.409,0.008,162481.0,58.6,0.697,-0.258,mejorando
BARRANCO,150104,3360,3069,0.073,0.367,0.011,54982.0,55.82,0.659,-0.087,estable
PUNTA HERMOSA,150126,692,426,0.045,0.171,0.026,8625.0,49.39,0.571,-0.384,mejorando
SAN BARTOLO,150129,464,423,0.026,0.151,0.024,8583.0,49.28,0.569,-0.088,estable
INDEPENDENCIA,150112,12626,10889,0.112,0.184,0.019,241414.0,45.11,0.512,-0.138,mejorando
SAN ISIDRO,150131,5236,4125,0.035,0.415,0.016,91723.0,44.97,0.51,-0.212,mejorando
CHACLACAYO,150107,2198,2160,0.086,0.229,0.033,53073.0,40.7,0.452,-0.017,estable
RIMAC,150128,9943,8858,0.088,0.18,0.021,222981.0,39.73,0.438,-0.109,mejorando
PUCUSANA,150124,728,621,0.053,0.155,0.019,15687.0,39.59,0.436,-0.147,mejorando
BREÑA,150105,5425,5100,0.094,0.328,0.011,132522.0,38.48,0.421,-0.06,estable
CALLAO,070101,24217,20182,0.075,0.15,0.028,528275.0,38.2,0.417,-0.167,mejorando
LURIGANCHO - CHOSICA,150118,7772,7578,0.083,0.182,0.03,199956.0,37.9,0.413,-0.025,estable
SANTA ANITA,150137,6663,9627,0.108,0.394,0.018,265381.0,36.28,0.391,0.445,empeorando
ANCON,150102,2159,1922,0.088,0.158,0.046,54027.0,35.57,0.381,-0.11,mejorando
LA VICTORIA,150115,10939,8812,0.133,0.411,0.024,262390.0,33.58,0.354,-0.194,mejorando
CARABAYLLO,150106,11274,10320,0.103,0.176,0.044,311703.0,33.11,0.348,-0.085,estable
LOS OLIVOS,150117,15838,13143,0.119,0.208,0.035,404117.0,32.52,0.34,-0.17,mejorando
SAN BORJA,150130,4706,4887,0.044,0.335,0.017,151008.0,32.36,0.337,0.038,estable
SAN LUIS,150134,2274,2428,0.068,0.317,0.026,76335.0,31.81,0.33,0.068,estable
SANTIAGO DE SURCO,150140,15398,13294,0.063,0.338,0.017,421099.0,31.57,0.326,-0.137,mejorando
COMAS,150110,19841,18444,0.091,0.15,0.039,596655.0,30.91,0.317,-0.07,estable
LURIN,150119,3425,2835,0.095,0.191,0.052,92921.0,30.51,0.312,-0.172,mejorando
CHORRILLOS,150108,10770,10558,0.083,0.181,0.044,351480.0,30.04,0.306,-0.02,estable
JESUS MARIA,150113,4738,4272,0.044,0.374,0.015,145672.0,29.33,0.296,-0.098,estable
CIENEGUILLA,150109,1066,987,0.023,0.152,0.055,33918.0,29.1,0.293,-0.074,estable
PACHACAMAC,150123,3795,3249,0.071,0.109,0.068,111856.0,29.05,0.292,-0.144,mejorando
SURQUILLO,150141,4001,3505,0.043,0.374,0.015,122954.0,28.51,0.285,-0.124,mejorando
VILLA MARIA DEL TRIUNFO,150143,15964,13782,0.152,0.165,0.024,487189.0,28.29,0.282,-0.137,mejorando
LINCE,150116,4358,2904,0.071,0.39,0.013,104359.0,27.83,0.275,-0.334,mejorando
SAN JUAN DE LURIGANCHO,150132,36163,30724,0.099,0.198,0.046,1112394.0,27.62,0.272,-0.15,mejorando
SANTA ROSA,150139,709,592,0.069,0.25,0.042,21775.0,27.19,0.266,-0.165,mejorando
VILLA EL SALVADOR,150142,13473,12547,0.13,0.18,0.046,468762.0,26.77,0.261,-0.069,estable
PUNTA NEGRA,150127,328,214,0.075,0.154,0.042,8174.0,26.18,0.253,-0.348,mejorando
SANTA MARIA DEL MAR,150138,68,44,0.023,0.068,0.045,1738.0,25.32,0.241,-0.353,mejorando
PUEBLO LIBRE,150121,2337,2968,0.073,0.261,0.017,118001.0,25.15,0.238,0.27,empeorando
PUENTE PIEDRA,150125,10069,8820,0.077,0.167,0.072,353979.0,24.92,0.235,-0.124,mejorando
LA MOLINA,150114,5240,5126,0.039,0.327,0.029,211115.0,24.28,0.227,-0.022,estable
EL AGUSTINO,150111,6390,5611,0.118,0.237,0.02,232653.0,24.12,0.224,-0.122,mejorando
ATE,150103,18212,15955,0.068,0.235,0.051,663149.0,24.06,0.224,-0.124,mejorando
SAN JUAN DE MIRAFLORES,150133,12860,10397,0.102,0.128,0.031,452124.0,23.0,0.209,-0.192,mejorando
LA PERLA,070104,1606,1605,0.065,0.136,0.031,73066.0,21.97,0.195,-0.001,estable
SAN MIGUEL,150136,5225,3907,0.031,0.169,0.018,178264.0,21.92,0.194,-0.252,mejorando
BELLAVISTA,070102,2291,2012,0.075,0.218,0.034,92189.0,21.82,0.193,-0.122,mejorando
SAN MARTIN DE PORRES,150135,19640,15465,0.127,0.241,0.03,711801.0,21.73,0.192,-0.213,mejorando
LA PUNTA,070105,156,153,0.026,0.137,0.026,7735.0,19.78,0.165,-0.019,estable
MAGDALENA DEL MAR,150120,1921,1650,0.027,0.247,0.024,88766.0,18.59,0.149,-0.141,mejorando
VENTANILLA,070106,5145,4784,0.045,0.089,0.045,348390.0,13.73,0.082,-0.07,estable
CARMEN DE LA LEGUA REYNOSO,070103,783,614,0.08,0.225,0.036,57926.0,10.6,0.039,-0.216,mejorando
MI PERU,070107,314,313,0.016,0.01,0.01,40370.0,7.75,0.0,-0.003,estable
