ANIO,MES,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,UBIGEO_HECHO,P_MODALIDADES,cantidad
2024,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Estafa,24
2024,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Extorsión,3
2024,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Hurto,107
2024,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Robo,84
2024,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Violencia contra la mujer e integrantes,110
2024,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Secuestro,2
2024,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Secuestro,1
2024,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Estafa,34
2024,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Hurto,338
2024,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Robo,236
2024,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Violencia contra la mujer e integrantes,100
2024,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Secuestro,2
2024,1,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Extorsión,3
2024,1,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Secuestro,1
2024,2,LIMA METROPOLITANA,LIMA,ANCON,150102,Estafa,5
2024,2,LIMA METROPOLITANA,LIMA,ANCON,150102,Hurto,54
2024,2,LIMA METROPOLITANA,LIMA,ATE,150103,Violencia contra la mujer e integrantes,493
2024,2,LIMA METROPOLITANA,LIMA,BREÑA,150105,Otros,116
2024,2,LIMA METROPOLITANA,LIMA,BREÑA,150105,Robo,86
2024,2,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Violencia contra la mujer e integrantes,373
2024,2,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Extorsión,5
2024,2,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Robo,197
2024,2,LIMA METROPOLITANA,LIMA,COMAS,150110,Secuestro,3
2024,2,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Extorsión,22
2024,2,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Hurto,280
2024,2,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Otros,325
2024,2,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Violencia contra la mujer e integrantes,47
2024,2,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Secuestro,1
2024,2,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,70105,Hurto,5
2024,2,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,70105,Otros,10
2024,2,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Robo,323
2024,2,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Extorsión,2
2024,2,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Otros,346
2024,2,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Violencia contra la mujer e integrantes,135
2024,2,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Robo,37
2024,2,LIMA METROPOLITANA,LIMA,RIMAC,150128,Extorsión,10
2024,2,LIMA METROPOLITANA,LIMA,SAN MIGUEL,150136,Robo,67
2024,2,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,70106,Estafa,14
2024,3,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Robo,37
2024,3,PROV. CONST. DEL CALLAO,CALLAO,BELLAVISTA,70102,Estafa,12
2024,3,LIMA METROPOLITANA,LIMA,BREÑA,150105,Estafa,26
2024,3,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Extorsión,1
2024,3,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Hurto,156
2024,3,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Extorsión,9
2024,3,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Secuestro,1
2024,3,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Robo,34
2024,3,PROV. CONST. DEL CALLAO,CALLAO,LA PERLA,70104,Hurto,20
2024,3,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,70105,Violencia contra la mujer e integrantes,4
2024,3,LIMA METROPOLITANA,LIMA,LURIN,150119,Robo,56
2024,3,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Extorsión,2
2024,3,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Secuestro,1
2024,3,LIMA METROPOLITANA,LIMA,SAN ISIDRO,150131,Extorsión,4
2024,3,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,150133,Otros,315
2024,3,LIMA METROPOLITANA,LIMA,SURQUILLO,150141,Hurto,131
2024,3,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Hurto,262
2024,3,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Secuestro,3
2024,3,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,150143,Violencia contra la mujer e integrantes,402
2024,4,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Robo,32
2024,4,PROV. CONST. DEL CALLAO,CALLAO,BELLAVISTA,70102,Otros,80
2024,4,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Extorsión,13
2024,4,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Hurto,170
2024,4,PROV. CONST. DEL CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,70103,Estafa,4
2024,4,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Hurto,58
2024,4,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Violencia contra la mujer e integrantes,26
2024,4,LIMA METROPOLITANA,LIMA,COMAS,150110,Estafa,58
2024,4,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Secuestro,1
2024,4,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Robo,118
2024,4,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Estafa,28
2024,4,LIMA METROPOLITANA,LIMA,LURIN,150119,Extorsión,4
2024,4,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Hurto,18
2024,4,LIMA METROPOLITANA,LIMA,SAN BORJA,150130,Hurto,105
2024,4,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,150133,Secuestro,2
2024,4,LIMA METROPOLITANA,LIMA,SAN MIGUEL,150136,Extorsión,9
2024,4,LIMA METROPOLITANA,LIMA,SANTA MARIA DEL MAR,150138,Otros,2
2024,4,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,150140,Hurto,456
2024,4,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,150140,Violencia contra la mujer e integrantes,215
2024,4,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,150142,Estafa,44
2024,5,PROV. CONST. DEL CALLAO,CALLAO,BELLAVISTA,70102,Otros,56
2024,5,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Robo,127
2024,5,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Secuestro,1
2024,5,LIMA METROPOLITANA,LIMA,LINCE,150116,Violencia contra la mujer e integrantes,27
2024,5,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Secuestro,2
