listing_id,district,price_pen,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,urbanization,photos_count,distrito,price_per_m2
147879979,barranco,287000.0,172.0,45.0,1,1,1,AV. REPUBLICA DE PANAMA 348,Barranco,1,BARRANCO,6377.777777777777
149324096,barranco,291550.0,70.0,62.0,2,1,0,Calle Doña Delmira  al 400,Barranco,1,BARRANCO,4702.419354838709
149610106,barranco,420000.0,350.0,33.0,1,1,1,Jr. Martinez de Pinillos- A 1 Cuadra del Malecón Dpto Amoblado con Cochera y Depósito,Barranco,1,BARRANCO,12727.272727272728
143173660,barranco,425780.0,0.0,56.0,1,1,1,"Av EL SOL N° 5xx, Dpto. 102,103",Barranco,1,BARRANCO,7603.214285714285
147239693,barranco,434868.0,170.0,39.0,1,1,0,EL SOL,Barranco,1,BARRANCO,11150.461538461539
149449649,barranco,446275.0,250.0,38.0,1,1,1,Grau al 1430,Barranco,1,BARRANCO,11744.078947368422
149849874,barranco,469990.0,217.0,44.0,1,1,1,Avenida San Martín 765,Barranco,1,BARRANCO,10681.59090909091
148724891,barranco,499000.0,0.0,51.0,2,1,1,Jirón Pedro Martinto,Barranco,1,BARRANCO,9784.313725490196
149791240,barranco,503176.0,0.0,47.0,1,1,0,PY Barranco 6,Barranco,1,BARRANCO,10705.872340425532
149864586,barranco,513000.0,320.0,73.0,2,2,1,Jirón Enrique Delucchi al 200,Barranco,1,BARRANCO,7027.397260273972
4637609,barranco,520819.0,0.0,48.0,1,1,1,El Sol Oeste,Barranco,1,BARRANCO,10850.395833333334
146768808,barranco,536500.0,1.0,38.0,1,1,1,"Av Pedro De Osma, Barranco",Barranco,1,BARRANCO,14118.421052631578
149794715,barranco,550000.0,0.0,78.0,3,2,1,Jirón Jaén Cuadra 2,Barranco,10,BARRANCO,7051.282051282052
149538000,barranco,563000.0,330.0,56.0,2,2,1,Jirón Fedelli 101,Barranco,1,BARRANCO,10053.57142857143
148960984,barranco,651300.0,0.0,116.0,3,2,1,Jiron Buenaventura Aguirre 206  Barranco  al 200,Barranco,1,BARRANCO,5614.6551724137935
148729318,barranco,653000.0,600.0,94.0,1,1,1,Pedro Martinto Cerca al Malecón Paul Harris,Barranco,1,BARRANCO,6946.808510638298
