ubigeo,distrito,poblacion_2020,urban_convenience_index,denuncias_x1000hab,crime_index_zone,crime_trend_zone,idh_2019,pct_pobreza_total,n_listados,precio_m2_mediana,safety_index,zone_composite_index
150120,MAGDALENA DEL MAR,88766.0,0.559,18.59,0.149,mejorando,0.834,0.78,19.0,7358.0,0.851,0.705
150135,SAN MARTIN DE PORRES,711801.0,0.593,21.73,0.192,mejorando,0.742,10.34,135.0,2773.0,0.808,0.7
150141,SURQUILLO,122954.0,0.648,28.51,0.285,mejorando,0.817,2.75,284.0,6566.0,0.715,0.682
150121,PUEBLO LIBRE,118001.0,0.602,25.15,0.238,empeorando,0.834,0.78,271.0,6248.0,0.762,0.682
150136,SAN MIGUEL,178264.0,0.533,21.92,0.194,mejorando,0.822,1.58,263.0,5853.0,0.806,0.67
070104,LA PERLA,73066.0,0.459,21.97,0.195,estable,0.74,3.12,,,0.805,0.632
150111,EL AGUSTINO,232653.0,0.465,24.12,0.224,mejorando,0.697,16.69,,,0.776,0.62
150113,JESUS MARIA,145672.0,0.512,29.33,0.296,estable,0.837,0.52,289.0,7389.0,0.704,0.608
150116,LINCE,104359.0,0.445,27.83,0.275,mejorando,0.842,1.45,248.0,7352.0,0.725,0.585
150133,SAN JUAN DE MIRAFLORES,452124.0,0.373,23.0,0.209,mejorando,0.729,15.18,,,0.791,0.582
070103,CARMEN DE LA LEGUA REYNOSO,57926.0,0.176,10.6,0.039,mejorando,0.676,11.84,,,0.961,0.568
150140,SANTIAGO DE SURCO,421099.0,0.382,31.57,0.326,mejorando,0.802,1.23,210.0,5606.0,0.674,0.528
150130,SAN BORJA,151008.0,0.373,32.36,0.337,estable,0.824,0.46,286.0,6331.0,0.663,0.518
070102,BELLAVISTA,92189.0,0.227,21.82,0.193,mejorando,0.729,4.51,,,0.807,0.517
150134,SAN LUIS,76335.0,0.355,31.81,0.33,estable,0.793,5.47,,,0.67,0.512
150142,VILLA EL SALVADOR,468762.0,0.252,26.77,0.261,estable,0.699,20.17,,,0.739,0.496
150117,LOS OLIVOS,404117.0,0.328,32.52,0.34,mejorando,0.758,7.88,142.0,3284.0,0.66,0.494
070106,VENTANILLA,348390.0,0.07,13.73,0.082,estable,0.6,26.07,,,0.918,0.494
150110,COMAS,596655.0,0.303,30.91,0.317,estable,0.722,16.04,85.0,2880.0,0.683,0.493
150103,ATE,663149.0,0.203,24.06,0.224,mejorando,0.687,17.17,29.0,3838.0,0.776,0.49
150112,INDEPENDENCIA,241414.0,0.477,45.11,0.512,mejorando,0.685,20.59,,,0.488,0.482
150115,LA VICTORIA,262390.0,0.304,33.58,0.354,mejorando,0.714,11.06,158.0,6965.0,0.646,0.475
150122,MIRAFLORES,162481.0,0.642,58.6,0.697,mejorando,0.833,0.09,249.0,7748.0,0.303,0.473
150108,CHORRILLOS,351480.0,0.252,30.04,0.306,estable,0.758,11.61,255.0,5175.0,0.694,0.473
150128,RIMAC,222981.0,0.357,39.73,0.438,mejorando,0.73,11.43,,,0.562,0.46
150131,SAN ISIDRO,91723.0,0.425,44.97,0.51,mejorando,0.789,0.06,263.0,8118.0,0.49,0.458
150132,SAN JUAN DE LURIGANCHO,1112394.0,0.164,27.62,0.272,mejorando,0.701,17.7,81.0,2965.0,0.728,0.446
070101,CALLAO,528275.0,0.287,38.2,0.417,mejorando,0.676,14.17,,,0.583,0.435
150104,BARRANCO,54982.0,0.526,55.82,0.659,estable,0.821,3.17,279.0,9299.0,0.341,0.434
150125,PUENTE PIEDRA,353979.0,0.1,24.92,0.235,mejorando,0.663,22.68,,,0.765,0.432
150114,LA MOLINA,211115.0,0.08,24.28,0.227,estable,0.845,1.17,251.0,4943.0,0.773,0.426
150143,VILLA MARIA DEL TRIUNFO,487189.0,0.101,28.29,0.282,mejorando,0.69,16.82,,,0.718,0.41
150138,SANTA MARIA DEL MAR,1738.0,0.006,25.32,0.241,mejorando,0.747,7.07,,,0.759,0.382
150127,PUNTA NEGRA,8174.0,0.007,26.18,0.253,mejorando,0.7,14.29,,,0.747,0.377
150139,SANTA ROSA,21775.0,0.013,27.19,0.266,mejorando,0.661,22.03,,,0.734,0.374
150123,PACHACAMAC,111856.0,0.022,29.05,0.292,mejorando,0.646,20.0,,,0.708,0.365
150119,LURIN,92921.0,0.032,30.51,0.312,mejorando,0.691,18.26,,,0.688,0.36
150109,CIENEGUILLA,33918.0,0.004,29.1,0.293,estable,0.637,17.53,,,0.707,0.356
150106,CARABAYLLO,311703.0,0.049,33.11,0.348,estable,0.65,19.18,,,0.652,0.351
150101,LIMA,397028.0,0.701,80.71,1.0,estable,0.765,7.96,,,0.0,0.35
150105,BREÑA,132522.0,0.07,38.48,0.421,estable,0.812,4.04,99.0,5231.0,0.579,0.324
150102,ANCON,54027.0,0.01,35.57,0.381,mejorando,0.669,19.25,,,0.619,0.314
150118,LURIGANCHO,199956.0,0.02,37.9,0.413,estable,0.683,18.23,,,0.587,0.304
150107,CHACLACAYO,53073.0,0.044,40.7,0.452,estable,0.741,9.71,,,0.548,0.296
150124,PUCUSANA,15687.0,0.01,39.59,0.436,mejorando,0.599,23.74,,,0.564,0.287
150129,SAN BARTOLO,8583.0,0.012,49.28,0.569,estable,0.724,13.34,,,0.431,0.222
150126,PUNTA HERMOSA,8625.0,0.005,49.39,0.571,mejorando,0.696,19.18,,,0.429,0.217
