attribute_name,description,data_type,format_or_unit,possible_values,missing_value_code
listing_id,Identificador único del listado,string,alfanumérico,N/A,NA
source,Portal de origen del listado,string,categórico,"Urbania; Properati",NA
title,Título del anuncio,string,texto libre,N/A,NA
price_soles,Precio de venta del inmueble,float,soles (PEN),> 0,NA
project_stage,Etapa del proyecto,string,categórico,"construido; en_planos; en_construccion",NA
district,Distrito de Lima donde se ubica la propiedad,string,categórico,"lista de distritos de Lima Metropolitana",NA
address,Dirección textual de la propiedad,string,texto libre,N/A,NA
latitude,Latitud geocodificada de la propiedad,float,grados decimales,"-12.5 a -11.7 aprox (Lima)",NA
longitude,Longitud geocodificada de la propiedad,float,grados decimales,"-77.2 a -76.8 aprox (Lima)",NA
area_m2,Área construida de la propiedad,float,metros cuadrados,> 0,NA
rooms,Número de habitaciones,integer,unidades,>= 0,NA
bathrooms,Número de baños,integer,unidades,>= 0,NA
floor,Piso en el que se ubica el departamento,integer,unidades,>= 0,NA
building_floors,Número total de pisos del edificio,integer,unidades,>= 1,NA
building_age_years,Antigüedad estimada de la construcción,integer,años,>= 0,NA
predicted_price_soles,Precio "justo" estimado por el modelo de valoración,float,soles (PEN),> 0,NA
opportunity_score,Score de oportunidad: (predicho - publicado) / predicho,float,proporción,"-1.0 a 1.0 aprox",NA
constructora_name,Nombre de la constructora o inmobiliaria,string,texto libre,N/A,NA
constructora_reliability_score,Score de confiabilidad de la constructora,float,escala 0-1,0.0 a 1.0,NA
constructora_projects_delivered,Número de proyectos entregados por la constructora,integer,unidades,>= 0,NA
constructora_projects_ongoing,Número de proyectos en curso de la constructora,integer,unidades,>= 0,NA
crime_index_zone,Índice de criminalidad de la zona,float,escala 0-1,0.0 a 1.0,NA
crime_trend_zone,Tendencia de criminalidad de la zona,string,categórico,"mejorando; estable; empeorando",NA
visual_quality_score,Score de percepción visual del entorno (modelo de visión),float,escala 0-1,0.0 a 1.0,NA
dist_nearest_school_m,Distancia a colegio más cercano,float,metros,>= 0,NA
dist_nearest_park_m,Distancia a parque más cercano,float,metros,>= 0,NA
dist_nearest_transport_m,Distancia a paradero/estación de transporte más cercano,float,metros,>= 0,NA
dist_nearest_market_m,Distancia a mercado/supermercado más cercano,float,metros,>= 0,NA
zone_composite_index,Índice compuesto de zona (seguridad + conveniencia + percepción visual),float,escala 0-1,0.0 a 1.0,NA
listing_date,Fecha de publicación del anuncio,date,YYYY-MM-DD,N/A,NA
url,Enlace al anuncio original,string,URL,N/A,NA
