listing_id,source,district,ubigeo,address,urbanization,price_soles,area_m2,price_per_m2,rooms,bathrooms,parking,maintenance_fee,photos_count,district_median_price_m2,baseline_price_soles,opportunity_score_baseline,crime_index_zone,crime_trend_zone,urban_convenience_index,zone_composite_index,idh_2019,pct_pobreza_total
149037885,Urbania,ATE,150103,Av. Prol. Javier Prado Este 9051 al 9000,Ate Vitarte,705600.0,270.0,2613.3,5,4,0,0.0,1,3838.0,1036260.0,0.319,0.224,mejorando,0.203,0.49,0.687,17.17
147879979,Urbania,BARRANCO,150104,AV. REPUBLICA DE PANAMA 348,Barranco,287000.0,45.0,6377.8,1,1,1,172.0,1,9299.0,418455.0,0.314,0.659,estable,0.526,0.434,0.821,3.17
149324096,Urbania,BARRANCO,150104,Calle Doña Delmira  al 400,Barranco,291550.0,62.0,4702.4,2,1,0,70.0,1,9299.0,576538.0,0.494,0.659,estable,0.526,0.434,0.821,3.17
149325041,Urbania,BARRANCO,150104,Jr Enrique Barrón  al 600,Barranco,405000.0,40.0,10125.0,1,1,0,0.0,1,9299.0,371960.0,-0.089,0.659,estable,0.526,0.434,0.821,3.17
149610106,Urbania,BARRANCO,150104,Jr. Martinez de Pinillos- A 1 Cuadra del Malecón Dpto Amoblado con Cochera y Depósito,Barranco,420000.0,33.0,12727.3,1,1,1,350.0,1,9299.0,306867.0,-0.369,0.659,estable,0.526,0.434,0.821,3.17
143173660,Urbania,BARRANCO,150104,"Av EL SOL N° 5xx, Dpto. 102,103",Barranco,425780.0,56.0,7603.2,1,1,1,0.0,1,9299.0,520744.0,0.182,0.659,estable,0.526,0.434,0.821,3.17
147239693,Urbania,BARRANCO,150104,EL SOL,Barranco,434868.0,39.0,11150.5,1,1,0,170.0,1,9299.0,362661.0,-0.199,0.659,estable,0.526,0.434,0.821,3.17
149449649,Urbania,BARRANCO,150104,Grau al 1430,Barranco,446275.0,38.0,11744.1,1,1,1,250.0,1,9299.0,353362.0,-0.263,0.659,estable,0.526,0.434,0.821,3.17
149849874,Urbania,BARRANCO,150104,Avenida San Martín 765,Barranco,469990.0,44.0,10681.6,1,1,1,217.0,1,9299.0,409156.0,-0.149,0.659,estable,0.526,0.434,0.821,3.17
148724891,Urbania,BARRANCO,150104,Jirón Pedro Martinto,Barranco,499000.0,51.0,9784.3,2,1,1,0.0,1,9299.0,474249.0,-0.052,0.659,estable,0.526,0.434,0.821,3.17
149791240,Urbania,BARRANCO,150104,PY Barranco 6,Barranco,503176.0,47.0,10705.9,1,1,0,0.0,1,9299.0,437053.0,-0.151,0.659,estable,0.526,0.434,0.821,3.17
149864586,Urbania,BARRANCO,150104,Jirón Enrique Delucchi al 200,Barranco,513000.0,73.0,7027.4,2,2,1,320.0,1,9299.0,678827.0,0.244,0.659,estable,0.526,0.434,0.821,3.17
4637609,Urbania,BARRANCO,150104,El Sol Oeste,Barranco,520819.0,48.0,10850.4,1,1,1,0.0,1,9299.0,446352.0,-0.167,0.659,estable,0.526,0.434,0.821,3.17
146768808,Urbania,BARRANCO,150104,"Av Pedro De Osma, Barranco",Barranco,536500.0,38.0,14118.4,1,1,1,1.0,1,9299.0,353362.0,-0.518,0.659,estable,0.526,0.434,0.821,3.17
149794715,Urbania,BARRANCO,150104,Jirón Jaén Cuadra 2,Barranco,550000.0,78.0,7051.3,3,2,1,0.0,10,9299.0,725322.0,0.242,0.659,estable,0.526,0.434,0.821,3.17
149538000,Urbania,BARRANCO,150104,Jirón Fedelli 101,Barranco,563000.0,56.0,10053.6,2,2,1,330.0,1,9299.0,520744.0,-0.081,0.659,estable,0.526,0.434,0.821,3.17
148960984,Urbania,BARRANCO,150104,Jiron Buenaventura Aguirre 206  Barranco  al 200,Barranco,651300.0,116.0,5614.7,3,2,1,0.0,1,9299.0,1078684.0,0.396,0.659,estable,0.526,0.434,0.821,3.17
148729318,Urbania,BARRANCO,150104,Pedro Martinto Cerca al Malecón Paul Harris,Barranco,653000.0,94.0,6946.8,1,1,1,600.0,1,9299.0,874106.0,0.253,0.659,estable,0.526,0.434,0.821,3.17
149416521,Urbania,BARRANCO,150104,Límite Barranco con Miraflores,Barranco,662300.0,110.0,6020.9,2,2,0,0.0,1,9299.0,1022890.0,0.353,0.659,estable,0.526,0.434,0.821,3.17
149481641,Urbania,BARRANCO,150104,Barranco al 400,Barranco,672600.0,72.0,9341.7,3,2,0,0.0,1,9299.0,669528.0,-0.005,0.659,estable,0.526,0.434,0.821,3.17
149866499,Urbania,BARRANCO,150104,Jirón Centenario 129,Barranco,700000.0,87.0,8046.0,1,1,1,0.0,1,9299.0,809013.0,0.135,0.659,estable,0.526,0.434,0.821,3.17
146018330,Urbania,BARRANCO,150104,"Jirón 2 DE Mayo N° 1xx, Dpto. 103",Barranco,716219.0,111.0,6452.4,2,2,0,0.0,1,9299.0,1032189.0,0.306,0.659,estable,0.526,0.434,0.821,3.17
147229530,Urbania,BARRANCO,150104,TEODOSIO PARREÑO,Barranco,810300.0,83.0,9762.7,3,3,1,490.0,1,9299.0,771817.0,-0.05,0.659,estable,0.526,0.434,0.821,3.17
146184980,Urbania,BARRANCO,150104,Dirección no informada,Barranco,860200.0,100.0,8602.0,2,2,1,0.0,1,9299.0,929900.0,0.075,0.659,estable,0.526,0.434,0.821,3.17
147944789,Urbania,BARRANCO,150104,las Mimosas al 100,Barranco,861211.0,90.0,9569.0,2,2,2,430.0,1,9299.0,836910.0,-0.029,0.659,estable,0.526,0.434,0.821,3.17
149416522,Urbania,BARRANCO,150104,Jirón Tacna,Barranco,897000.0,93.0,9645.2,2,2,1,580.0,1,9299.0,864807.0,-0.037,0.659,estable,0.526,0.434,0.821,3.17
90271227,Urbania,BARRANCO,150104,Av. San Martín,Barranco,993750.0,158.0,6289.6,2,2,2,550.0,1,9299.0,1469242.0,0.324,0.659,estable,0.526,0.434,0.821,3.17
149309081,Urbania,BARRANCO,150104,Jirón Las Mimosas 287,Barranco,1164500.0,130.0,8957.7,3,2,1,400.0,1,9299.0,1208870.0,0.037,0.659,estable,0.526,0.434,0.821,3.17
