puesto,ruc,razon_social,viviendas_construidas,estado
1,20494453003,AIF CONTRATISTAS GENERALES SAC,6420,vigente
2,20450380505,CONSTRUCCIONES Y SERVICIOS SAC,4130,vigente
3,20414689559,CONSTRUCTORA CAPÓN SAC,3745,vigente
4,20445430952,INVERSIONES Y SERVICIOS GENERALES GCR S.A.C,3452,vigente
5,20531341571,NAZCASA CONTRATISTAS Y SERVICIOS GENERALES S.R.L.,3219,vigente
6,20477329994,TABERNACULO CONSTRUCTORES S.A.C.,3126,vigente
7,20473902738,RGD CONSTRUCCIONES SA,2984,vigente
8,20515424360,CAMARGOS CONTRATISTAS GENERALES S.A.C.,2937,vigente
9,20477433384,FORTALEZA MAM CONTRATISTAS SAC,2757,vigente
10,20481784990,PLANDUARQ EIRL,2385,vigente
