ubigeo,distrito,url
070101,CALLAO,https://drive.google.com/uc?id=1pcZreJ84jO8XifGWuSxlaUp4fT7Xj054&export=download
070102,BELLAVISTA,https://drive.google.com/uc?id=1kRLrSx6PqZTTZep8cmp8sTn3pSUsFnjA&export=download
070103,CARMEN DE LA LEGUA REYNOSO,https://drive.google.com/uc?id=1qzYc6VIh9QaZd6kXZv5oqUyffFgsTIR5&export=download
070104,LA PERLA,https://drive.google.com/uc?id=1VQuPVM_CTVW3huJulEzIqKRsTXiJlIrk&export=download
070105,LA PUNTA,https://drive.google.com/uc?id=1Dh0AqfZcmHUt3lcYediJ12tzhy9qhGSK&export=download
070106,VENTANILLA,https://drive.google.com/uc?id=1ULnvhTjaGdSCOG8RXBWhVxx6Cr9P_TUj&export=download
070107,MI PERU,https://drive.google.com/uc?id=16WqzBov5hSEggxvKhJG4u8DMskWElbzN&export=download
150101,LIMA,https://drive.google.com/uc?id=1nVLMMg5hLvZ8jITxrM-Za7EVWkLhVQry&export=download
150102,ANCON,https://drive.google.com/uc?id=1J_m59yHBSd5TeFw6gbSnoDSYo6MnFxTZ&export=download
150103,ATE,https://drive.google.com/uc?id=1FxXpykympzubCabWepM6pDhS8n3k0uyz&export=download
150104,BARRANCO,https://drive.google.com/uc?id=1ZDzKBlEGUd3gqTH27FOIp4QT3PUBkXV2&export=download
150105,BREÑA,https://drive.google.com/uc?id=1vVRQ8hMJSKKe4sOenaenH0PJEXmXNXRe&export=download
150106,CARABAYLLO,https://drive.google.com/uc?id=1RMtRuVqhZSBG0Z4MCMqNd8IYeXlC5V3g&export=download
150107,CHACLACAYO,https://drive.google.com/uc?id=1qZcVmxCS5yk1ClQcbpdJBUCoTnqf0RO_&export=download
150108,CHORRILLOS,https://drive.google.com/uc?id=1eEz8CvFMi5HZh9mZlmUazWjWA3x62EKG&export=download
150109,CIENEGUILLA,https://drive.google.com/uc?id=162vhjhprBapWSXg_iiaSMPvZq3P5xMl2&export=download
150110,COMAS,https://drive.google.com/uc?id=1qrJZj9co9BGozxYSafdav2_KdPt7Vyzp&export=download
