idmanzana,ubigeo,distrito,codzona,codmzna,n_hogar,n_pob,estrato,estrato_label
070101033000210,070101,CALLAO,033,021,77,298,3,medio
070101033000220,070101,CALLAO,033,022,61,237,3,medio
070101033000200,070101,CALLAO,033,020,11,67,3,medio
070101033000250,070101,CALLAO,033,025,1,1,3,medio
070101033000270,070101,CALLAO,033,027,22,109,3,medio
070101033000280,070101,CALLAO,033,028,44,161,3,medio
070101033000300,070101,CALLAO,033,030,51,216,3,medio
070101033000130,070101,CALLAO,033,013,89,351,3,medio
070101033000290,070101,CALLAO,033,029,51,190,3,medio
070101033000260,070101,CALLAO,033,026,53,193,3,medio
070101033000120,070101,CALLAO,033,012,67,237,3,medio
070101033000240,070101,CALLAO,033,024,54,204,3,medio
070101033000320,070101,CALLAO,033,032,23,92,3,medio
070101033000310,070101,CALLAO,033,031,33,124,3,medio
070101033000110,070101,CALLAO,033,011,64,223,3,medio
070101033000080,070101,CALLAO,033,008,5,9,3,medio
070101033000230,070101,CALLAO,033,023,38,161,3,medio
070101009000530,070101,CALLAO,009,053,56,224,4,medio alto
070101009000520,070101,CALLAO,009,052,45,194,4,medio alto
070101009000270,070101,CALLAO,009,027,42,141,4,medio alto
070101009000490,070101,CALLAO,009,049,38,141,4,medio alto
070101009000210,070101,CALLAO,009,021,81,270,4,medio alto
07010101500061C,070101,CALLAO,015,061,4,9,2,medio bajo
070101009000510,070101,CALLAO,009,051,81,325,4,medio alto
070101009000180,070101,CALLAO,009,018,78,331,4,medio alto
07010101500061B,070101,CALLAO,015,061,15,49,2,medio bajo
070101009000540,070101,CALLAO,009,054,100,370,4,medio alto
070101009000500,070101,CALLAO,009,050,82,314,4,medio alto
070101033000150,070101,CALLAO,033,015,80,308,3,medio
070101033000160,070101,CALLAO,033,016,27,113,3,medio
070101033000070,070101,CALLAO,033,007,4,6,3,medio
070101033000350,070101,CALLAO,033,035,74,282,3,medio
070101033000330,070101,CALLAO,033,033,2,3,3,medio
070101033000370,070101,CALLAO,033,037,97,392,3,medio
070101033000340,070101,CALLAO,033,034,65,291,3,medio
070101033000170,070101,CALLAO,033,017,107,391,3,medio
070101009000150,070101,CALLAO,009,015,83,372,4,medio alto
070101033000090,070101,CALLAO,033,009,16,57,3,medio
070101009000470,070101,CALLAO,009,047,20,68,4,medio alto
070101009000580,070101,CALLAO,009,058,1,10,4,medio alto
070101009000060,070101,CALLAO,009,006,57,189,4,medio alto
070101009000440,070101,CALLAO,009,044,55,174,4,medio alto
070101009000030,070101,CALLAO,009,003,49,190,4,medio alto
070101009000460,070101,CALLAO,009,046,48,233,4,medio alto
070101009000450,070101,CALLAO,009,045,108,338,4,medio alto
070101009000140,070101,CALLAO,009,014,101,366,4,medio alto
070101009000020,070101,CALLAO,009,002,67,233,4,medio alto
070101009000010,070101,CALLAO,009,001,115,409,4,medio alto
070101009000170,070101,CALLAO,009,017,65,267,4,medio alto
070101009000070,070101,CALLAO,009,007,41,168,4,medio alto
070101009000040,070101,CALLAO,009,004,21,85,4,medio alto
070101009000080,070101,CALLAO,009,008,61,237,4,medio alto
070101009000120,070101,CALLAO,009,012,67,249,4,medio alto
070101009000100,070101,CALLAO,009,010,50,167,4,medio alto
070101009000110,070101,CALLAO,009,011,52,169,4,medio alto
070101009000240,070101,CALLAO,009,024,68,268,4,medio alto
070101009000250,070101,CALLAO,009,025,65,212,4,medio alto
070101009000280,070101,CALLAO,009,028,46,182,4,medio alto
070101009000230,070101,CALLAO,009,023,75,267,4,medio alto
070101009000220,070101,CALLAO,009,022,68,276,4,medio alto
070101009000130,070101,CALLAO,009,013,43,149,4,medio alto
070101009000290,070101,CALLAO,009,029,65,245,4,medio alto
070101033000100,070101,CALLAO,033,010,26,71,3,medio
070101033000380,070101,CALLAO,033,038,55,221,3,medio
070101009000200,070101,CALLAO,009,020,68,216,4,medio alto
070101033000550,070101,CALLAO,033,055,88,396,2,medio bajo
070101033000560,070101,CALLAO,033,056,107,461,2,medio bajo
070101033000420,070101,CALLAO,033,042,51,222,3,medio
070101033000440,070101,CALLAO,033,044,61,295,3,medio
070101033000570,070101,CALLAO,033,057,73,297,2,medio bajo
070101033000400,070101,CALLAO,033,040,48,193,3,medio
070101033000410,070101,CALLAO,033,041,67,270,3,medio
070101033000490,070101,CALLAO,033,049,39,147,3,medio
07010103300045A,070101,CALLAO,033,045,2,11,3,medio
070101033000540,070101,CALLAO,033,054,80,388,2,medio bajo
070101033000500,070101,CALLAO,033,050,38,179,3,medio
070101033000520,070101,CALLAO,033,052,50,198,3,medio
070101033000480,070101,CALLAO,033,048,30,127,3,medio
070101044000010,070101,CALLAO,044,001,111,376,3,medio
070101009000090,070101,CALLAO,009,009,54,159,4,medio alto
070101009000350,070101,CALLAO,009,035,44,141,4,medio alto
070101009000340,070101,CALLAO,009,034,36,114,4,medio alto
070101009000330,070101,CALLAO,009,033,1,2,4,medio alto
070101009000570,070101,CALLAO,009,057,28,116,4,medio alto
