etapa,distrito,expediente,fecha_inicio,fecha_emision,modalidad,zonificacion,altura,codigo_catastral,uso,valorizacion,solicitante
conformidad,CERCADO DE LIMA,197318-2022,20221124,20220123,C,CZ / RDA,20,10.045.022,VIVIENDA MULTIFAMILIAR,0,
conformidad,CERCADO DE LIMA,209692-2022,20221215,20220126,C,CM,3,10.131.002,LOCAL COMERCIAL,0,
conformidad,CERCADO DE LIMA,6239-2023,20230111,20220127,C,ZTE - 1 ZTE - 2,1,04.069.001,SIN ESPECIFICAR,0,
conformidad,CERCADO DE LIMA,203945-2022,20221205,20221205,A,CM,2,10.041.013,SIN ESPECIFICAR,0,
conformidad,CERCADO DE LIMA,214738-2022,20221223,20221223,A,ZT,2,20.071.008,SIN ESPECIFICAR,0,
conformidad,CERCADO DE LIMA,193542-2022,20221118,20230109,C,ZTE-3,2,06.006.009,SIN ESPECIFICAR,0,
conformidad,CERCADO DE LIMA,192300-2022,20221117,20230118,C,OU,4,15.040.025,LOCAL INSTITUCIONAL,0,
conformidad,CERCADO DE LIMA,193561 - 2022,20221118,20230306,C,CM-RDA,"20 PISOS,2 SOTANOS, SEMISOTANO",20.019.007,MULTIFAMILIAR,0,
conformidad,CERCADO DE LIMA,38144 - 2023,20230302,20230308,A,CM,3,20.078.015,SIN ESPECIFICAR,0,
conformidad,CERCADO DE LIMA,213229 - 2022,20221221,20230328,C,ZTE-1,"4 PISOS, SOTANO, AZOTEA",5.031.004,AGENCIA BANCARIA,0,
conformidad,CERCADO DE LIMA,38691-2023,20230302,20230410,C,CM-RDA,20 PISOS,4.038.014,VIVIENDA MULTIFAMILIAR,0,
conformidad,CERCADO DE LIMA,25130-2023,20230209,20230419,C,RDA,15 PISOS,20.030.011,VIVIENDA MULTIFAMILIAR,0,
conformidad,CERCADO DE LIMA,27479-2023,20230518,20230518,C,CZ,7 PISOS Y AZOTEA,14.021.016,COMERCIO Y OFICINAS,0,
conformidad,CERCADO DE LIMA,97671-2023,20230529,20230518,A,RDM,0,42.552.749,SIN ESPECIFICAR,0,
conformidad,CERCADO DE LIMA,99645-2023,20230601,20230601,A,RDM,02 PISOS,42.551.677,DEMOLICIÓN,0,
conformidad,CERCADO DE LIMA,113027-2023,20230623,20230710,A,RDM,0,42.560.858,DEMOLICIÓN,0,
conformidad,CERCADO DE LIMA,111789-2023,20230622,20230710,A,CZ,0,42.562.036,DEMOLICIÓN,0,
conformidad,CERCADO DE LIMA,104422-2023,20230609,20230710,C,ZTE-1,1,42.555.161,COMERCIO,0,
conformidad,CERCADO DE LIMA,102277-2023,20230606,20230711,C,CM,20,42.561.984,EDIFICIO MULTIFAMILIAR,0,
conformidad,CERCADO DE LIMA,109186-2023,20230616,20230712,C,CZ,4,42.557.454,ALMACEN Y OFICINAS,0,
conformidad,CERCADO DE LIMA,116270-2023,20230703,20230713,B,CV,0,42.543.764,DEMOLICIÓN,0,
conformidad,CERCADO DE LIMA,152170-2023,20230829,20230915,A,RDM,02 PISOS,42.551.885,DEMOLICIÓN,0,
conformidad,CERCADO DE LIMA,128951-2023,20230721,20230921,A,CM,02 PISOS,42.561.864,DEMOLICIÓN,0,
conformidad,CERCADO DE LIMA,152170-2023,20230829,20231030,A,RDM,3 PISOS,12.028.010,VIVIENDA,0,
conformidad,CERCADO DE LIMA,169620-2023,20230922,20231117,A,ZTE-1,1 PISO,5.029.010,COMERCIO,0,
conformidad,CERCADO DE LIMA,175646-2023,20231002,20231130,A,ZTE-1,2 PISOS,5.051.021,COMERCIO,0,
conformidad,CERCADO DE LIMA,109186-2023,20230620,20231215,CON VARIACION,I2,4 pisos - 1 sotano,13.043.001,INDUSTRIA LIVIANA,0,
conformidad,CERCADO DE LIMA,164799-2023,20230918,20231229,CON VARIACIÓN,VT / CV,20 PISOS,14.035.021,VIV. MULTIFAMILIAR,0,
conformidad,CERCADO DE LIMA,226722-2023,20231213,20240103,A,RDA,0,19.071.048,SIN ESPECIFICAR,42634.72,
conformidad,CERCADO DE LIMA,237498-2023,20231229,20240104,A,CM,0,9.059.007,SIN ESPECIFICAR,204101.52,
conformidad,CERCADO DE LIMA,26646-2023,20230210,20240104,C,ZTE-1,4,5.061.002,COMERCIO Y OFICINAS,2442968.27,
conformidad,CERCADO DE LIMA,2790-2024,20240105,20240109,C,ZTE-1,32,15.026.001,OFICINAS,356252.82,
conformidad,CERCADO DE LIMA,2404-2024,20240105,20240109,C,ZTE-3,3,7.005.029,PLAYA DE ESTACIONAMIENTO,2574608.79,
conformidad,CERCADO DE LIMA,112929-2023,20230623,20240110,C,ZTE-2,3,6.046.025,SIN ESPECIFICAR,682792.51,
conformidad,CERCADO DE LIMA,3722-2024,20240108,20240112,C,CZ,59.85ML,11.003.002,COMERCIO-VIVIENDA MULTIFAMILIAR,40570.45,
conformidad,CERCADO DE LIMA,109057-2023,20230616,20240116,D,I2,2,8.050.016,INDUSTRIA LIVIANA,50326652,
conformidad,CERCADO DE LIMA,146855-2023,20230822,20240117,C,RDA,15,20.053.002,VIVIENDA MULTIFAMILIAR,11409500.42,
conformidad,CERCADO DE LIMA,5839-2024,20240110,20240119,A,CM,0,20.041.017,SIN ESPECIFICAR,563989.51,
conformidad,CERCADO DE LIMA,3369-2024,20240105,20240119,A,RDA,0,20.064.001,SIN ESPECIFICAR,253778.4,
conformidad,CERCADO DE LIMA,10660-2024,20240116,20240119,C,CM,22,9.059.005,CONJUNTO RESIDENCIAL - ETAPA 4,219190.23,
conformidad,CERCADO DE LIMA,11399-2024,20240117,20240119,C,ZTE-1,2,5.040.003,LOCAL INSTITUCIONAL (OFICINAS),265561.66,
conformidad,CERCADO DE LIMA,63690-2023,20230411,20240122,B,RDM,0,12.078.021,VIVIENDA MULTIFAMILIAR,62607.16,
conformidad,CERCADO DE LIMA,16351-2024,20240123,20240131,A,CM,0,20.034.007,SIN ESPECIFICAR,4977.28,
conformidad,CERCADO DE LIMA,199921-2023,20231106,20240201,C,RDM,6,11.016.019,VIVIENDA MULTIFAMILIAR,1255106.86,
conformidad,CERCADO DE LIMA,23304-2024,20240131,20240202,B,RDM,4,12.008.003,SIN ESPECIFICAR,1103737.35,
conformidad,CERCADO DE LIMA,21770-2024,20240130,20240202,C,CM,22,20.041.017,VIVIENDA MULTIFAMILIAR Y COMERCIO,10576.16,
conformidad,CERCADO DE LIMA,237205-2023,20231228,20240206,C,CM,22,20.035.020,VIVIENDA MULTIFAMILIAR,68764000,
conformidad,CERCADO DE LIMA,207263-2023,20231115,20240214,C,RDM,8,19.052.034,VIVIENDA MULTIFAMILIAR,1931636.25,
conformidad,CERCADO DE LIMA,32602-2024,20240213,20240221,A,RDM,2,8.059.026,SIN ESPECIFICAR,111834.96,
conformidad,CERCADO DE LIMA,171528-2023,20230926,20240223,C,CZ,27,15.066.017,VIVIENDA MULTIFAMILIAR Y COMERCIO,31430499.7,
conformidad,CERCADO DE LIMA,39986-2024,20240222,20240227,A,CM,1,10.027.006,SIN ESPECIFICAR,160526.74,
conformidad,CERCADO DE LIMA,34947-2024,20240215,20240227,C,ZTE-1,2,5.015.010,VIVIENDA MULTIFAMILIAR Y COMERCIO,18557.21,
conformidad,CERCADO DE LIMA,36897-2024,20240219,20240228,C,CZ,22,11.003.002,VIVIENDA MULTIFAMILIAR Y COMERCIO,158870.12,
conformidad,CERCADO DE LIMA,43669-2024,20240228,20240228,C,CM,2,10.040.014,ALMACENES,1774671.34,
conformidad,CERCADO DE LIMA,45492-2024,20240301,20240306,C,ZTE-1,3,5.017.001,TIENDAS COMERCIALES Y HOSPEDAJE,759627.7,
conformidad,CERCADO DE LIMA,44954-2024,20240229,20240306,A,RDM,3,17.062.024,VIVIENDA UNIFAMILIAR,6313.45,
conformidad,CERCADO DE LIMA,39550-2024,20240222,20240306,A,CZ,1,18.001.032,SIN ESPECIFICAR,399933309,
conformidad,CERCADO DE LIMA,46085-2024,20240301,20240306,A,CM,2,20.007.078,SIN ESPECIFICAR,110758.51,
conformidad,CERCADO DE LIMA,26774-2024,20240206,20240307,"B
(REVISORES URBANOS)",CM,22,9.059.005,SIN ESPECIFICAR,2645644.39,
conformidad,CERCADO DE LIMA,6666-2024,20240111,20240308,B,RDM,5,17.067.018,VIVIENDA MULTIFAMILIAR,561059.04,
conformidad,CERCADO DE LIMA,74654-2023,20230504,20240308,B,CZ,2,16.024.004,SIN ESPECIFICAR,509.27,
conformidad,CERCADO DE LIMA,47867-2024,20230305,20240308,A,I2,1,8.050.044,SIN ESPECIFICAR,180614.66,
conformidad,CERCADO DE LIMA,44190-2024,20240228,20240311,"C 
(REVISORES URBANOS)",CV,11,17.041.005,COMERCIO Y CONJUNTO RESIDENCIAL,1326554,
conformidad,CERCADO DE LIMA,35214-2024,20240216,20240311,A,RDA,1,01-20-054-006,SIN USO,"S/ 17,841.10",
conformidad,LIMA CERCADO,35214-2024,20240216,20240311,A,RDA,1,01-20-054-006,SIN USO,"S/ 17,841.10",
conformidad,CERCADO DE LIMA,51163-2024,20240308,20240313,"C 
(REVISORES URBANOS)",CM,1,20.050.010,LOCAL INSTITUCIONAL,287895.65,
conformidad,CERCADO DE LIMA,1094-2024,20240103,20240313,D,CM,1,10.035.011,ESTACION DE SERVICIO GASOCENTRO,15000,
conformidad,CERCADO DE LIMA,54591-2024,20240313,20240313,A,CZ,2,01-15-056-001,SIN USO,"S/ 564,081.24",
conformidad,LIMA CERCADO,54591-2024,20240313,20240313,A,CZ,2,01-15-056-001,SIN USO,"S/ 564,081.24",
conformidad,CERCADO DE LIMA,18042-2024,20240125,20240314,A,RDA,1,01-20-053-002,SIN USO,"S/ 269,573.55",
conformidad,LIMA CERCADO,18042-2024,20240125,20240314,A,RDA,1,01-20-053-002,SIN USO,"S/ 269,573.55",
conformidad,CERCADO DE LIMA,218795-2023,20231130,20240315,C,ZTE-1,2,5.010.018,GALERIA COMERCIAL (EXISTENTE),934135.63,
conformidad,CERCADO DE LIMA,18496-2024,20240125,20240315,A,RDM,3,01-17-063-010,SIN USO,"S/ 17,250.00",
conformidad,LIMA CERCADO,18496-2024,20240125,20240315,A,RDM,3,01-17-063-010,SIN USO,"S/ 17,250.00",
conformidad,CERCADO DE LIMA,237574-2023,20231229,20240322,C,CM,4,15.026.001,"GALERIAL FERIAL
(EXISTENTE)",4364689.19,
conformidad,CERCADO DE LIMA,202485-2023,20231108,20240322,C,ZTE-3,4,6.029.001,COMERCIO,3464294,
conformidad,CERCADO DE LIMA,188141-2023,20231019,20240322,C,ZTE-1,32,15.026.001,COMERCIO,265551.37,
conformidad,CERCADO DE LIMA,108200-2024,20240529,20240529,A,CM,0,01-20-069-020,SIN USO,"S/ 21,932.28",
