poi_id,categoria,nombre,latitude,longitude,osm_tag
node/1305070536,colegio,Colegio Santa Angela,-12.080066,-76.986432,school
node/1305792010,colegio,,-12.080735,-76.982009,school
node/2059768589,colegio,Colegio Perpetuo Socorro,-12.080208,-77.058466,school
node/2068560801,colegio,Colegio Brasil,-12.081129,-77.058434,school
node/2068560802,colegio,Institución Educativa Peruano Americano Clinton Rodham,-12.081111,-77.054197,school
node/2068560804,colegio,Institución Educativa Cooperativo San Felipe,-12.088716,-77.0562,school
node/2068560816,colegio,Colegio Isaac Newton de Jesús María,-12.08102,-77.05818,school
node/2068560835,colegio,Institución Educativa San Antonio De Padua,-12.0848,-77.05855,school
node/2090582854,colegio,CEBA Ceba - Francisco de Paula Gonzales Vigil,-12.08363,-77.03354,school
node/2090582855,colegio,CEBA Ceba - Metropolitano,-12.085333,-77.030534,school
node/2090582874,colegio,Institución Educativa Albert Einstein,-12.081157,-77.037093,school
node/2090582876,colegio,Institución Educativa Alborada,-12.082252,-77.034089,school
node/2090582877,colegio,Institución Educativa Aplicacion San Marcos,-12.083057,-77.042115,school
node/2090582879,colegio,Institución Educativa Christa Mc Auliffe,-12.08366,-77.04577,school
node/2090582883,colegio,Institución Educativa Gotita De Cielo,-12.087569,-77.042112,school
node/2090582884,colegio,Institución Educativa Jesualdo,-12.08363,-77.04633,school
node/2090582885,colegio,Colegio Los Angeles,-12.08408,-77.03943,school
node/2090582886,colegio,Institución Educativa Maria Reina De La Paz,-12.090713,-77.038207,school
node/2090582887,colegio,Institución Educativa Mi Hogar Y Escuela,-12.084256,-77.043839,school
node/2090582888,colegio,Institución Educativa Micaela Bastidas De Condorcanqui,-12.086407,-77.042298,school
node/2090582889,colegio,Colegio Nuestra Virgen del Divino Corazon,-12.08495,-77.04354,school
node/2090582890,colegio,Institución Educativa Pamer - Lince,-12.08778,-77.03328,school
node/2090582892,colegio,Institución Educativa Saco Oliveros De Lince,-12.08139,-77.03829,school
node/2090582893,colegio,Institución Educativa San Tarcisio,-12.084449,-77.044325,school
node/2090582896,colegio,Institución Educativa Sor Ines,-12.081559,-77.03702,school
node/2173006557,colegio,Institución Educativa La Cruz De Oro,-12.107522,-76.995231,school
node/3379539100,colegio,Institución Educativa San Juan Bosco,-12.121496,-77.024756,school
node/3379539114,colegio,Institución Educativa Alborada,-12.123152,-77.020103,school
node/3379539117,colegio,Institución Educativa Alfredo Salazar Southwell,-12.114368,-77.027721,school
node/3379539145,colegio,Institución Educativa Pestalozzi,-12.123504,-77.015342,school
node/3379539146,colegio,Colegio Pestalozzi,-12.123505,-77.015142,school
node/3379539156,colegio,Colegio Santa María de Miraflores,-12.123095,-77.005474,school
node/3379539163,colegio,Colegio Sor Ana de los Angeles Monteagudo,-12.118317,-77.034601,school
node/3379539165,colegio,Institución Educativa Totus Tuus,-12.1107,-77.0311,school
node/3379539167,colegio,Colegio Trilce Benavides,-12.127444,-77.012168,school
node/3379539168,colegio,Institución Educativa Union Miraflores,-12.112318,-77.036692,school
node/3976168048,colegio,"Liceo Naval ""Almirante Guise""",-12.096165,-76.999279,school
node/4150258789,colegio,Privateacher International,-12.091188,-77.056512,school
node/4151400699,colegio,Usamedic,-12.083043,-77.036868,school
