proyecto,codigo_proyecto,promotor,direccion,departamento,provincia,distrito,periodo_publicacion,area_techada_min,area_techada_max,area_lote_min,area_lote_max,precio_min,precio_max,unidades_disponibles,bono_verde,web,telefono,programa
PLAZA 27 RESIDENCIAL,,GRUPO INT S.A.C,Av 17 Noviembre y Jr Octavio Hinostroza,ANCASH,HUARAZ,HUARAZ,1/07/2026,75.0,40.0,0.0,0.0,380000.0,210000.0,33,0,www.grupoint.pe,954904331,nuevo_credito_mivivienda
OASIZ ,,GRUPO INT S.A.C,PROLONGANCIÓN PABLO PATRÓN 550,ANCASH,HUARAZ,INDEPENDENCIA,1/07/2026,114.0,78.35,0.0,0.0,350000.0,270000.0,2,0,https://grupoint.pe/,927171245,nuevo_credito_mivivienda
SOL DE LA CAMPIÑA - CHIMBOTE,,CONSTRUCTORA GALILEA S.A.C.,Prolongación Av. Buenos Aires km 4.2 La Campiña,ANCASH,CHIMBOTE,La Campiña,1/07/2026,83.3,41.7,0.0,0.0,237990.0,173990.0,265,2,https://galilea.com.pe/sol-de-campina/ ,994 698 410,nuevo_credito_mivivienda
RESIDENCIAL GARDENIAS,,GRUPO INMOBILIARIO MOLINA SRL,JR GARDENIAS S/N,APURÍMAC,ABANCAY,ABANCAY,1/07/2026,52.0,50.0,0.0,0.0,175000.0,135000.0,15,1,https://www.facebook.com/constructoramolinasrl,948240147,nuevo_credito_mivivienda
RESIDENCIAL LOS LIRIOS,,Constructora y Consultora Molina SRL,"JR LOS LIRIOS S/N, PATIBAMBA BAJA",APURÍMAC,ABANCAY,ABANCAY,1/07/2026,78.0,35.0,0.0,0.0,243500.0,107500.0,9,0,https://www.facebook.com/constructoramolinasrl,948240147,nuevo_credito_mivivienda
EDIFICIO MULTIFAMILIAR HESTIA,,GIL & RODRIGUEZ INVERSIONES INOBILIARIAS S.A.C,URBANIZACIÓN INDEPENDENCIA AMERICA MZ A LOTE 2,AREQUIPA,AREQUIPA,AREQUIPA,1/07/2026,66.68,43.5,0.0,0.0,219725.0,190312.0,17,0,www.hestia.pe,959332660,nuevo_credito_mivivienda
EDIFICIO MULTIFAMILIAR MIRANDA,,ERIKA MIRANDA DEL CARPIO,URB. AMPLIACION LA NEGRITA MZC LOTE11,AREQUIPA,AREQUIPA,AREQUIPA,1/07/2026,189.3,162.0,0.0,0.0,355000.0,193794.0,5,0,,950327825,nuevo_credito_mivivienda
MAGNA 193,,AML CONSTRUCTORA Y CONSULTORIA S.A.C.,"Urbanizacion La Quinta Umacollo, Calle Garcilazo de la Vega S/N Manzana R, Lote 193",AREQUIPA,AREQUIPA,AREQUIPA,1/07/2026,89.5,72.4,0.0,0.0,395000.0,265000.0,20,0,https://www.instagram.com/amlconstructorayconsultora?igsh=em1vYm1manY4YzB0,915146875,nuevo_credito_mivivienda
VIVE UMACOLLO,,VALTE CORPORACION S.A.C. ,CALLE RENATO MORALES DE RIVERA N° 61-67,AREQUIPA,AREQUIPA,AREQUIPA,1/07/2026,72.81,57.19,0.0,0.0,334197.9,262502.1,26,0,https://www.facebook.com/61590062880789/posts/pfbid0JUhCaDWGna5mhhXvaGFhWbKmZrinip6cbx3R7BuSqmQdoLrSuuo67UW1uBGAZfThl/,969520225,nuevo_credito_mivivienda
ARCADIA ROOSVELT,,ARCADIA INVESTMENTS SAC,"Asentamiento Humano Gráficos - Av, Roosvelt Q-16",AREQUIPA,Arequipa,Alto Selva Alegre,1/07/2026,102.0,54.8,0.0,0.0,339150.0,182210.0,14,0,https://www.facebook.com/share/17ENh3UmYh/,959927034,nuevo_credito_mivivienda
RESIDENCIAL CASTILLA II,,Alferza Desarrolladora Inmobiliaria,Psje. Ronda La Isla 106 Cercado - Arequipa,AREQUIPA,Arequipa,Arequipa,1/07/2026,138.37,32.33,0.0,0.0,545642.0,198000.0,41,2,https://alferza.pe/proyectos/castilla-b/,916877027,nuevo_credito_mivivienda
ARES 902 - BOUTIQUE APARTS,,HESTIA COIMSER,Av. Bolognesi 902,AREQUIPA,AREQUIPA,CAYMA,1/07/2026,80.0,80.0,0.0,0.0,0.0,443200.0,6,0,https://hestiacoimser.com/index.php,912 374 630,nuevo_credito_mivivienda
EDIFICIO MULTIFAMILIAR BELLO HORIZONTE II,,NAYAT INVERSIONES S.A.C.,"URBANIZACIÓN UN RINCÓN EN LA CHACRITA 2DA. ETAPA, MZ. B LOTE 1 CAYMA, AREQUIPA",AREQUIPA,AREQUIPA,CAYMA,1/07/2026,61.5,59.2,0.0,0.0,268000.0,255000.0,5,0,https://web.facebook.com/grupoasasconstructora/?locale=es_LA&_rdc=1&_rdr#,961314020,nuevo_credito_mivivienda
MULTIFAMILIAR VITA,,MURALLA CONSTRUCION Y SERVICIOS INMOBILIARIOS EIRL,"URB. VALLE ESCONDIDO mz. B, Lote 22-23",AREQUIPA,AREQUIPA,CAYMA,1/07/2026,72.0,72.0,0.0,0.0,430000.0,380000.0,5,0,https://casanueva.pe,959382667,nuevo_credito_mivivienda
