listing_id,url,distrito,encabezado,moneda,precio,mantenimiento,tipo_inmueble,titulo,descripcion,rooms,bedrooms,bathrooms,area_m2,address_region,address_locality
149735527,https://urbania.pe/inmueble/clasificado/vecltein-venta-de-terreno-en-asia-canete-149735527,ASIA CANETE,"Venta Terreno / Lote en Asia S/ 81,260",PEN,81260.0,200.0,,,,,,,,,
146072779,https://urbania.pe/inmueble/clasificado/veclcpin-venta-de-casa-de-playa-en-el-golf-asia-5-a-mas-dormitorios-146072779,EL GOLF ASIA 5 A MAS DORMITORIOS,"Venta Casa de playa en El Golf S/ 2,395,250",PEN,2395250.0,1700.0,,,,,,,,,
150390040,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-armendariz-miraflores-2-dormitorios-150390040,ARMENDARIZ,"Venta Departamento en Armendariz S/ 799,000",PEN,799000.0,,Apartment,Venta de Departamento en Miraflores - Lima 2 Dormitorios y - 150390040 | Urbania Peru,"Departamento de 90 m² de superficie construida en venta, ubicado en una zona exclusiva de Armendariz . A 2 cuadras del Malecón, muy cerca a parques, a 4 c...",2.0,2.0,2.0,90.0,Armendariz,"Miraflores, Lima, Lima, Peru urbania"
150925180,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-2-dormitorios-150925180,MIRAFLORES,"Venta Departamento en Miraflores S/ 670,700",PEN,670700.0,340.0,Apartment,Venta de Departamento en Miraflores - Lima 2 Dormitorios y - 150925180 | Urbania Peru,"La oportunidad perfecta para vivir o invertir en una de las calles residenciales más tranquilas, seguras y estratégicamente conectadas de Miraflores. Ubic...",2.0,2.0,2.0,68.0,Miraflores,"Lima, Lima, Peru urbania, "
4644509,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-3-dormitorios-4644509,MIRAFLORES,"Venta Departamento en Miraflores S/ 2,578,000",PEN,2578000.0,,Apartment,Venta de Departamento en Miraflores - Lima 3 Dormitorios y - 4644509 | Urbania Peru,"(Cod. DS- JAPLV01) Entrega Inmediata Moderno Edificio ubicado en Las Viñas, Miraflores, diseñado por Malachowski Arquitectos, frente a Parque García Calde...",3.0,3.0,3.0,251.0,Miraflores,"Lima, Lima, Peru urbania, "
64385059,https://urbania.pe/inmueble/clasificado/vecltein-venta-de-terreno-en-moche-trujillo-64385059,MOCHE TRUJILLO,"Venta Terreno / Lote en Moche S/ 9,756,012",PEN,9756012.0,,,,,,,,,,
150951296,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santa-clara-ate-vitarte-3-dormitorios-150951296,SANTA CLARA,"Venta Departamento en Santa Clara S/ 205,000",PEN,205000.0,100.0,Apartment,Venta de Departamento en Ate Vitarte - Lima 3 Dormitorios y - 150951296 | Urbania Peru,DEPARTAMENTO EN VENTA EN SANTA CLARA - ATE - 62m² VENTA DE DEPARTAMENTO 62m² - CASA CLUB PASEO DEL SOL - SANTA CLARA ATE SE VENDE DEPARTAM...,3.0,3.0,2.0,61.0,Santa Clara,"Ate Vitarte, Lima, Lima, Peru urbania"
150905243,https://urbania.pe/inmueble/clasificado/vecltein-venta-de-terreno-en-el-agustino-lima-150905243,EL AGUSTINO,"Venta Terreno / Lote en El Agustino S/ 11,043,200",PEN,11043200.0,,,,,,,,,,
143032179,https://urbania.pe/inmueble/clasificado/vecltein-venta-de-terreno-en-callao-callao-143032179,CALLAO CALLAO,"Venta Terreno / Lote en Callao S/ 6,409,880",PEN,6409880.0,,,,,,,,,,
150124079,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-ascensor-150124079,SAN BORJA,"Venta Departamento en San Borja S/ 730,650",PEN,730650.0,,Apartment,Venta de Departamento en San Borja - Lima 3 Dormitorios y - 150124079 | Urbania Peru,"Imagina despertar cada mañana frente a un hermoso parque, abrir el balcón y ver a tus hijos jugar felices mientras los acompañas desde la tranquilidad de ...",3.0,3.0,2.0,93.0,San Borja,"Lima, Lima, Peru urbania, "
