distrito,n_listados,precio_m2_mediana,precio_m2_media,precio_m2_p25,precio_m2_p75,area_mediana,precio_mediano,crime_index_zone,crime_trend_zone
ATE,29,3838.0,4057.0,3408.0,4872.0,120.0,450000.0,0.224,mejorando
BARRANCO,279,9299.0,9040.0,7595.0,10354.0,75.0,610000.0,0.659,estable
BREÑA,99,5231.0,5065.0,4337.0,5929.0,75.0,390000.0,0.421,estable
CHORRILLOS,255,5175.0,5426.0,4078.0,6665.0,76.0,398840.0,0.306,estable
COMAS,85,2880.0,2870.0,2412.0,3382.0,76.0,218300.0,0.317,estable
JESUS MARIA,289,7389.0,7308.0,6373.0,8309.0,75.0,550000.0,0.296,estable
LA MOLINA,251,4943.0,4977.0,4082.0,5758.0,130.0,647500.0,0.227,estable
LA VICTORIA,158,6965.0,6585.0,5912.0,7717.0,65.0,403522.0,0.354,mejorando
LINCE,248,7352.0,7177.0,5739.0,8434.0,75.0,517328.0,0.275,mejorando
LOS OLIVOS,142,3284.0,3324.0,2790.0,3781.0,90.0,288488.0,0.34,mejorando
MAGDALENA DEL MAR,19,7358.0,7186.0,5962.0,8262.0,80.0,613970.0,0.149,mejorando
MIRAFLORES,249,7748.0,7859.0,6579.0,8976.0,129.0,958365.0,0.697,mejorando
PUEBLO LIBRE,271,6248.0,6135.0,5456.0,6797.0,78.0,470000.0,0.238,empeorando
SAN BORJA,286,6331.0,6405.0,5380.0,7430.0,158.0,998250.0,0.337,estable
SAN ISIDRO,263,8118.0,8406.0,6609.0,9932.0,177.0,1344000.0,0.51,mejorando
SAN JUAN DE LURIGANCHO,81,2965.0,2947.0,2423.0,3467.0,100.0,285000.0,0.272,mejorando
SAN MARTIN DE PORRES,135,2773.0,2810.0,2416.0,3219.0,89.0,250000.0,0.192,mejorando
SAN MIGUEL,263,5853.0,5789.0,4911.0,6546.0,72.0,416200.0,0.194,mejorando
SANTIAGO DE SURCO,210,5606.0,5737.0,4912.0,6494.0,163.0,942690.0,0.326,mejorando
SURQUILLO,284,6566.0,6709.0,5792.0,7632.0,74.0,487600.0,0.285,mejorando
