distrito,ubigeo,denuncias_prev,denuncias_ult,poblacion_2020,denuncias_x1000hab,crime_index_zone,var_anual,crime_trend_zone
ANCON,150102,2159,1922,54027.0,35.57,0.381,-0.11,mejorando
ATE,150103,18212,15955,663149.0,24.06,0.224,-0.124,mejorando
BARRANCO,150104,3360,3069,54982.0,55.82,0.659,-0.087,estable
BELLAVISTA,070102,2291,2012,92189.0,21.82,0.193,-0.122,mejorando
BREÑA,150105,5425,5100,132522.0,38.48,0.421,-0.06,estable
CALLAO,070101,24217,20182,528275.0,38.2,0.417,-0.167,mejorando
CARABAYLLO,150106,11274,10320,311703.0,33.11,0.348,-0.085,estable
CARMEN DE LA LEGUA REYNOSO,070103,783,614,57926.0,10.6,0.039,-0.216,mejorando
CHACLACAYO,150107,2198,2160,53073.0,40.7,0.452,-0.017,estable
CHORRILLOS,150108,10770,10558,351480.0,30.04,0.306,-0.02,estable
CIENEGUILLA,150109,1066,987,33918.0,29.1,0.293,-0.074,estable
COMAS,150110,19841,18444,596655.0,30.91,0.317,-0.07,estable
EL AGUSTINO,150111,6390,5611,232653.0,24.12,0.224,-0.122,mejorando
INDEPENDENCIA,150112,12626,10889,241414.0,45.11,0.512,-0.138,mejorando
JESUS MARIA,150113,4738,4272,145672.0,29.33,0.296,-0.098,estable
LA MOLINA,150114,5240,5126,211115.0,24.28,0.227,-0.022,estable
LA PERLA,070104,1606,1605,73066.0,21.97,0.195,-0.001,estable
LA PUNTA,070105,156,153,7735.0,19.78,0.165,-0.019,estable
LA VICTORIA,150115,10939,8812,262390.0,33.58,0.354,-0.194,mejorando
LIMA,150101,34957,32046,397028.0,80.71,1.0,-0.083,estable
LINCE,150116,4358,2904,104359.0,27.83,0.275,-0.334,mejorando
LOS OLIVOS,150117,15838,13143,404117.0,32.52,0.34,-0.17,mejorando
LURIGANCHO - CHOSICA,150118,7772,7578,199956.0,37.9,0.413,-0.025,estable
LURIN,150119,3425,2835,92921.0,30.51,0.312,-0.172,mejorando
MAGDALENA DEL MAR,150120,1921,1650,88766.0,18.59,0.149,-0.141,mejorando
MI PERU,070107,314,313,40370.0,7.75,0.0,-0.003,estable
MIRAFLORES,150122,12841,9522,162481.0,58.6,0.697,-0.258,mejorando
PACHACAMAC,150123,3795,3249,111856.0,29.05,0.292,-0.144,mejorando
PUCUSANA,150124,728,621,15687.0,39.59,0.436,-0.147,mejorando
PUEBLO LIBRE,150121,2337,2968,118001.0,25.15,0.238,0.27,empeorando
PUENTE PIEDRA,150125,10069,8820,353979.0,24.92,0.235,-0.124,mejorando
PUNTA HERMOSA,150126,692,426,8625.0,49.39,0.571,-0.384,mejorando
PUNTA NEGRA,150127,328,214,8174.0,26.18,0.253,-0.348,mejorando
RIMAC,150128,9943,8858,222981.0,39.73,0.438,-0.109,mejorando
SAN BARTOLO,150129,464,423,8583.0,49.28,0.569,-0.088,estable
SAN BORJA,150130,4706,4887,151008.0,32.36,0.337,0.038,estable
SAN ISIDRO,150131,5236,4125,91723.0,44.97,0.51,-0.212,mejorando
SAN JUAN DE LURIGANCHO,150132,36163,30724,1112394.0,27.62,0.272,-0.15,mejorando
SAN JUAN DE MIRAFLORES,150133,12860,10397,452124.0,23.0,0.209,-0.192,mejorando
SAN LUIS,150134,2274,2428,76335.0,31.81,0.33,0.068,estable
SAN MARTIN DE PORRES,150135,19640,15465,711801.0,21.73,0.192,-0.213,mejorando
SAN MIGUEL,150136,5225,3907,178264.0,21.92,0.194,-0.252,mejorando
SANTA ANITA,150137,6663,9627,265381.0,36.28,0.391,0.445,empeorando
SANTA MARIA DEL MAR,150138,68,44,1738.0,25.32,0.241,-0.353,mejorando
SANTA ROSA,150139,709,592,21775.0,27.19,0.266,-0.165,mejorando
SANTIAGO DE SURCO,150140,15398,13294,421099.0,31.57,0.326,-0.137,mejorando
SURQUILLO,150141,4001,3505,122954.0,28.51,0.285,-0.124,mejorando
VENTANILLA,070106,5145,4784,348390.0,13.73,0.082,-0.07,estable
VILLA EL SALVADOR,150142,13473,12547,468762.0,26.77,0.261,-0.069,estable
VILLA MARIA DEL TRIUNFO,150143,15964,13782,487189.0,28.29,0.282,-0.137,mejorando
