district,listings,price_median_soles,price_per_m2_median,area_median_m2,opportunity_median,zone_index,crime_index
ATE,29,450000.0,3837.719298245614,120.0,0.0,0.49,0.224
BARRANCO,279,610000.0,9298.611111111111,75.0,0.0,0.434,0.659
BREÑA,99,390000.0,5230.985915492958,75.0,0.0,0.325,0.421
CHORRILLOS,255,398840.0,5175.0,76.0,0.0,0.473,0.306
COMAS,85,218300.0,2880.0,76.0,0.0,0.493,0.317
JESUS MARIA,289,550000.0,7388.888888888889,75.0,0.0,0.608,0.296
LA MOLINA,251,647500.0,4943.478260869565,130.5,-0.0,0.426,0.227
LA VICTORIA,158,403522.5,6964.549064095292,65.0,0.0,0.475,0.354
LINCE,248,517327.5,7352.077601410935,75.0,0.0,0.585,0.275
LOS OLIVOS,142,288487.5,3284.2537313432836,90.0,0.0,0.494,0.34
MAGDALENA DEL MAR,19,613970.0,7358.490566037736,80.0,-0.0,0.712,0.149
MIRAFLORES,249,958365.0,7748.265306122449,129.0,0.0,0.473,0.697
PUEBLO LIBRE,271,470000.0,6247.695652173913,78.0,0.0,0.682,0.238
SAN BORJA,286,998250.0,6331.0590858416945,158.0,-0.0005,0.518,0.337
SAN ISIDRO,263,1344000.0,8117.64705882353,177.0,0.0,0.458,0.51
SAN JUAN DE LURIGANCHO,81,285000.0,2964.84375,100.0,0.0,0.446,0.272
SAN MARTIN DE PORRES,135,250000.0,2773.109243697479,89.0,-0.0,0.7,0.192
SAN MIGUEL,263,416200.0,5853.333333333333,72.0,-0.0,0.67,0.194
SANTIAGO DE SURCO,210,942690.0,5605.692307692308,163.0,0.0,0.528,0.326
SURQUILLO,284,487600.0,6565.500338066261,74.0,0.0,0.682,0.285
