,price_soles,area_m2,price_per_m2,rooms,bathrooms,parking,opportunity_score_baseline,zone_composite_index,crime_index_zone,urban_convenience_index
price_soles,1.0,0.85,0.373,0.334,0.527,0.656,-0.172,-0.227,0.35,0.041
area_m2,0.85,1.0,-0.037,0.515,0.623,0.643,0.154,-0.24,0.192,-0.113
price_per_m2,0.373,-0.037,1.0,-0.279,0.008,0.233,-0.644,-0.074,0.466,0.325
rooms,0.334,0.515,-0.279,1.0,0.589,0.281,0.193,-0.066,-0.096,-0.163
bathrooms,0.527,0.623,0.008,0.589,1.0,0.452,0.072,-0.133,0.097,-0.071
parking,0.656,0.643,0.233,0.281,0.452,1.0,-0.086,-0.244,0.275,-0.045
opportunity_score_baseline,-0.172,0.154,-0.644,0.193,0.072,-0.086,1.0,0.007,0.0,0.009
zone_composite_index,-0.227,-0.24,-0.074,-0.066,-0.133,-0.244,0.007,1.0,-0.566,0.683
crime_index_zone,0.35,0.192,0.466,-0.096,0.097,0.275,0.0,-0.566,1.0,0.215
urban_convenience_index,0.041,-0.113,0.325,-0.163,-0.071,-0.045,0.009,0.683,0.215,1.0
