district,listings,price_median_soles,price_per_m2_median,area_median_m2,zone_index,partial_rows,partial_pct
ATE,29,450000.0,3837.719298245614,120.0,0.49,29,100.0
BARRANCO,279,610000.0,9298.611111111111,75.0,0.434,279,100.0
BREÑA,99,390000.0,5230.985915492958,75.0,0.325,99,100.0
CHORRILLOS,255,398840.0,5175.0,76.0,0.473,255,100.0
COMAS,85,218300.0,2880.0,76.0,0.493,85,100.0
JESUS MARIA,289,550000.0,7388.888888888889,75.0,0.608,289,100.0
LA MOLINA,251,647500.0,4943.478260869565,130.5,0.426,251,100.0
LA VICTORIA,158,403522.5,6964.549064095292,65.0,0.475,158,100.0
LINCE,248,517327.5,7352.077601410935,75.0,0.585,248,100.0
LOS OLIVOS,142,288487.5,3284.2537313432836,90.0,0.494,142,100.0
MAGDALENA DEL MAR,19,613970.0,7358.490566037736,80.0,0.712,19,100.0
MIRAFLORES,249,958365.0,7748.265306122449,129.0,0.473,249,100.0
PUEBLO LIBRE,271,470000.0,6247.695652173913,78.0,0.682,271,100.0
SAN BORJA,286,998250.0,6331.0590858416945,158.0,0.518,286,100.0
SAN ISIDRO,263,1344000.0,8117.64705882353,177.0,0.458,263,100.0
SAN JUAN DE LURIGANCHO,81,285000.0,2964.84375,100.0,0.446,81,100.0
SAN MARTIN DE PORRES,135,250000.0,2773.109243697479,89.0,0.7,135,100.0
SAN MIGUEL,263,416200.0,5853.333333333333,72.0,0.67,263,100.0
SANTIAGO DE SURCO,210,942690.0,5605.692307692308,163.0,0.528,210,100.0
SURQUILLO,284,487600.0,6565.500338066261,74.0,0.682,284,100.0
