variable,count,mean,std,min,25%,50%,75%,max
price_soles,3896.0,741812.8098049281,727756.0884247612,79000.0,380000.0,539001.0,829625.0,10177500.0
area_m2,3896.0,119.27322895277207,89.44226327074648,21.0,67.0,90.0,137.0,827.0
price_per_m2,3896.0,6281.388259601927,2232.5276686788193,1211.764705882353,4716.861838726246,6236.328125,7625.238549618321,15425.531914893618
rooms,3896.0,2.6552874743326487,0.8927106142692304,1.0,2.0,3.0,3.0,10.0
bathrooms,3896.0,2.165811088295688,0.9194637658320447,1.0,2.0,2.0,2.25,20.0
parking,3896.0,0.773870636550308,0.9153911501885955,0.0,0.0,1.0,1.0,10.0
opportunity_score_baseline,3896.0,-0.00232623203285421,0.23884808625537007,-1.155,-0.148,-0.0,0.157,0.728
zone_composite_index,3896.0,0.5387679671457907,0.09955367436804965,0.325,0.473,0.518,0.608,0.712
crime_index_zone,3896.0,0.35208213552361395,0.1492248157206544,0.149,0.272,0.306,0.354,0.697
urban_convenience_index,3896.0,0.4293613963039014,0.16776261665400688,0.071,0.328,0.445,0.533,0.648
