listing_id,source,district,ubigeo,address,urbanization,price_soles,area_m2,price_per_m2,rooms,bathrooms,parking,maintenance_fee,photos_count,district_median_price_m2,baseline_price_soles,opportunity_score_baseline,bcrp_price_m2_usd,bcrp_price_rent_ratio,proyectos_nuevos_distrito,unidades_nuevas_distrito,crime_index_zone,crime_trend_zone,urban_convenience_index,zone_composite_index,idh_2019,pct_pobreza_total
146555801,Urbania,ATE,150103,Condominio Prados DEL SOL,Ate Vitarte,177500.0,62.0,2862.9032258064517,3,2,0,0.0,1,3838.0,237956.0,0.254,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
149206856,Urbania,ATE,150103,"Rio Marañon, Ate 15498",Ate Vitarte,180960.0,58.0,3120.0,2,2,0,0.0,1,3838.0,222604.0,0.187,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
149207626,Urbania,ATE,150103,"Rio Marañon, Ate 15498, Perú",Ate Vitarte,243600.0,75.0,3248.0,3,2,0,0.0,1,3838.0,287850.0,0.154,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
144253620,Urbania,ATE,150103,Calle cordillera del condor,Mayorazgo,295000.0,70.0,4214.285714285715,2,2,0,0.0,1,3838.0,268660.0,-0.098,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
148674823,Urbania,ATE,150103,SALAMANCA DE MONTERRICO RECAUDADORES,Salamanca De Monterrico,318000.0,64.0,4968.75,2,1,1,0.0,1,3838.0,245632.0,-0.295,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
146138487,Urbania,ATE,150103,Calle Las Fresas cuadra 1,Ate Vitarte,320000.0,95.0,3368.4210526315787,3,2,0,30.0,1,3838.0,364610.0,0.122,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
149028043,Urbania,ATE,150103,Pasaje Los Alpes Urb. Alpamayo,Ate Vitarte,330660.0,75.0,4408.8,2,2,0,0.0,1,3838.0,287850.0,-0.149,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
149789896,Urbania,ATE,150103,Urb. Alpamayo,Ate Vitarte,340000.0,63.0,5396.825396825397,3,2,0,200.0,1,3838.0,241794.0,-0.406,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
148303438,Urbania,ATE,150103,Calle Sabadell  Urbanización Mayorazgo,Mayorazgo,349000.0,99.0,3525.252525252525,3,2,0,0.0,1,3838.0,379962.0,0.081,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
147472547,Urbania,ATE,150103,Calle Australia,Portales De J.prado,360000.0,93.0,3870.967741935484,3,2,0,1.0,1,3838.0,356934.0,-0.009,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
149149198,Urbania,ATE,150103,Av. Marginal al 100,Javier Prado Et.6,404168.0,126.0,3207.6825396825398,3,2,0,0.0,10,3838.0,483588.0,0.164,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
149675051,Urbania,ATE,150103,SALAMANCA MONTERRICO,Ate Vitarte,431000.0,123.0,3504.0650406504064,4,2,0,0.0,1,3838.0,472074.0,0.087,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
147856936,Urbania,ATE,150103,Pasaje Juan Sifuentes ATE,Ate Vitarte,435000.0,120.0,3625.0,3,1,0,100.0,1,3838.0,460560.0,0.055,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
149218249,Urbania,ATE,150103,Lerida 238,Mayorazgo,437500.0,114.0,3837.719298245614,3,2,0,80.0,1,3838.0,437532.0,0.0,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
147856897,Urbania,ATE,150103,Prolongacion Javier Prado Este 9132,Los Portales De Javier Prado,450000.0,126.0,3571.4285714285716,4,3,1,0.0,1,3838.0,483588.0,0.069,,,3,23,0.224,mejorando,0.203,0.49,0.686854963693964,17.174936
