column,missing_values,total_rows,missing_pct
listing_id,0,3896,0.0
source,0,3896,0.0
district,0,3896,0.0
ubigeo,0,3896,0.0
address,0,3896,0.0
urbanization,0,3896,0.0
price_soles,0,3896,0.0
area_m2,0,3896,0.0
price_per_m2,0,3896,0.0
rooms,0,3896,0.0
bathrooms,0,3896,0.0
parking,0,3896,0.0
maintenance_fee,0,3896,0.0
photos_count,0,3896,0.0
district_median_price_m2,0,3896,0.0
baseline_price_soles,0,3896,0.0
opportunity_score_baseline,0,3896,0.0
bcrp_price_m2_usd,984,3896,25.26
bcrp_price_rent_ratio,3896,3896,100.0
proyectos_nuevos_distrito,0,3896,0.0
unidades_nuevas_distrito,0,3896,0.0
crime_index_zone,0,3896,0.0
crime_trend_zone,0,3896,0.0
urban_convenience_index,0,3896,0.0
zone_composite_index,0,3896,0.0
idh_2019,0,3896,0.0
pct_pobreza_total,0,3896,0.0
log_price_soles,0,3896,0.0
log_area_m2,0,3896,0.0
data_partial,0,3896,0.0
