ubigeo,distrito,superficie,poblacion_2020,n_colegio,n_parque,n_transporte,n_mercado,n_salud,urban_convenience_index
070101,CALLAO,45.65,528275.0,179,462,124,30,16,0.287
070102,BELLAVISTA,4.56,92189.0,7,52,3,3,4,0.227
070103,CARMEN DE LA LEGUA REYNOSO,2.12,57926.0,6,3,6,2,0,0.176
070104,LA PERLA,2.75,73066.0,14,58,6,3,3,0.459
070106,VENTANILLA,69.93,348390.0,71,190,43,9,4,0.07
150101,LIMA,21.98,397028.0,346,262,162,37,54,0.701
150102,ANCON,285.45,54027.0,61,124,15,2,4,0.01
150103,ATE,77.72,663149.0,438,500,67,20,25,0.203
150104,BARRANCO,3.33,54982.0,32,41,15,8,1,0.526
150105,BREÑA,3.22,132522.0,7,2,2,1,0,0.071
150106,CARABAYLLO,303.31,311703.0,241,629,127,7,8,0.049
150107,CHACLACAYO,39.5,53073.0,40,49,7,7,1,0.044
150108,CHORRILLOS,38.94,351480.0,246,245,87,15,13,0.252
150109,CIENEGUILLA,240.33,33918.0,23,54,1,0,0,0.004
150110,COMAS,48.75,596655.0,414,325,154,9,17,0.303
150111,EL AGUSTINO,12.54,232653.0,154,207,26,5,7,0.465
150112,INDEPENDENCIA,14.56,241414.0,129,96,145,3,3,0.476
150113,JESUS MARIA,4.57,145672.0,50,50,8,7,20,0.512
150114,LA MOLINA,65.75,211115.0,59,161,71,13,3,0.08
150115,LA VICTORIA,8.74,262390.0,60,80,16,5,7,0.304
150116,LINCE,3.03,104359.0,35,5,18,5,3,0.445
150117,LOS OLIVOS,18.25,404117.0,134,116,80,7,11,0.328
150118,LURIGANCHO,236.47,199956.0,110,190,26,3,3,0.02
150119,LURIN,180.26,92921.0,109,279,16,6,4,0.032
150120,MAGDALENA DEL MAR,3.61,88766.0,36,53,12,9,7,0.572
150121,PUEBLO LIBRE,4.38,118001.0,39,82,27,5,7,0.602
150122,MIRAFLORES,9.62,162481.0,72,124,72,30,16,0.642
150123,PACHACAMAC,160.23,111856.0,126,106,8,1,5,0.022
150124,PUCUSANA,37.39,15687.0,13,13,2,0,0,0.011
150125,PUENTE PIEDRA,72.81,353979.0,229,193,41,6,8,0.099
150126,PUNTA HERMOSA,119.5,8625.0,8,27,0,2,1,0.005
150127,PUNTA NEGRA,130.5,8174.0,8,51,6,1,0,0.007
150128,RIMAC,11.87,222981.0,89,113,43,7,6,0.357
150129,SAN BARTOLO,45.01,8583.0,10,32,0,0,0,0.012
150130,SAN BORJA,9.96,151008.0,39,107,44,9,14,0.373
150131,SAN ISIDRO,11.1,91723.0,41,96,80,15,10,0.425
150132,SAN JUAN DE LURIGANCHO,131.25,1112394.0,622,494,207,15,17,0.164
150133,SAN JUAN DE MIRAFLORES,22.97,452124.0,298,241,25,4,17,0.373
150134,SAN LUIS,3.49,76335.0,31,32,11,1,3,0.355
150135,SAN MARTIN DE PORRES,36.82,711801.0,610,599,161,15,34,0.593
150136,SAN MIGUEL,10.72,178264.0,107,206,34,13,8,0.533
150138,SANTA MARIA DEL MAR,9.81,1738.0,0,5,0,0,0,0.006
150139,SANTA ROSA,21.35,21775.0,9,4,0,2,0,0.013
150140,SANTIAGO DE SURCO,35.89,421099.0,228,498,84,36,23,0.382
150141,SURQUILLO,3.46,122954.0,30,56,25,7,7,0.648
150142,VILLA EL SALVADOR,35.46,468762.0,243,265,57,7,16,0.252
150143,VILLA MARIA DEL TRIUNFO,70.57,487189.0,223,139,54,11,10,0.101
