ubigeo,distrito,poblacion_2020,urban_convenience_index,denuncias_x1000hab,crime_index_zone,crime_trend_zone,idh_2019,pct_pobreza_total,n_listados,precio_m2_mediana,safety_index,zone_composite_index
070101,CALLAO,528275.0,0.287,38.2,0.417,mejorando,0.6762005080600119,14.174308,,,0.583,0.435
070102,BELLAVISTA,92189.0,0.227,21.82,0.193,mejorando,0.728519895274477,4.514266,,,0.807,0.517
070103,CARMEN DE LA LEGUA REYNOSO,57926.0,0.176,10.6,0.039,mejorando,0.67640650914095,11.838163,,,0.961,0.568
070104,LA PERLA,73066.0,0.459,21.97,0.195,estable,0.739658089783038,3.118283,,,0.805,0.632
070106,VENTANILLA,348390.0,0.07,13.73,0.082,estable,0.6003157057624199,26.066656,,,0.918,0.494
150101,LIMA,397028.0,0.701,80.71,1.0,estable,0.764684596165853,7.958984,,,0.0,0.35
150102,ANCON,54027.0,0.01,35.57,0.381,mejorando,0.668888988529008,19.246935,,,0.619,0.314
150103,ATE,663149.0,0.203,24.06,0.224,mejorando,0.686854963693964,17.174936,29.0,3838.0,0.776,0.49
150104,BARRANCO,54982.0,0.526,55.82,0.659,estable,0.820764283821305,3.172325,279.0,9299.0,0.341,0.434
150105,BREÑA,132522.0,0.071,38.48,0.421,estable,0.812114452742238,4.041467,99.0,5231.0,0.579,0.325
150106,CARABAYLLO,311703.0,0.049,33.11,0.348,estable,0.6498693508177539,19.176021,,,0.652,0.351
150107,CHACLACAYO,53073.0,0.044,40.7,0.452,estable,0.741053741969329,9.712625,,,0.548,0.296
150108,CHORRILLOS,351480.0,0.252,30.04,0.306,estable,0.75835539281644,11.60839,255.0,5175.0,0.694,0.473
150109,CIENEGUILLA,33918.0,0.004,29.1,0.293,estable,0.6371716495641229,17.529394,,,0.707,0.356
150110,COMAS,596655.0,0.303,30.91,0.317,estable,0.721892698840011,16.044523,85.0,2880.0,0.683,0.493
150111,EL AGUSTINO,232653.0,0.465,24.12,0.224,mejorando,0.697061781031419,16.689837,,,0.776,0.62
150112,INDEPENDENCIA,241414.0,0.476,45.11,0.512,mejorando,0.6853375063928139,20.590949,,,0.488,0.482
150113,JESUS MARIA,145672.0,0.512,29.33,0.296,estable,0.837189592782548,0.519235,289.0,7389.0,0.704,0.608
150114,LA MOLINA,211115.0,0.08,24.28,0.227,estable,0.845216614825386,1.168268,251.0,4943.0,0.773,0.426
150115,LA VICTORIA,262390.0,0.304,33.58,0.354,mejorando,0.7141594849782829,11.057018,158.0,6965.0,0.646,0.475
150116,LINCE,104359.0,0.445,27.83,0.275,mejorando,0.842427736545257,1.452933,248.0,7352.0,0.725,0.585
150117,LOS OLIVOS,404117.0,0.328,32.52,0.34,mejorando,0.7584625995633119,7.881448,142.0,3284.0,0.66,0.494
150118,LURIGANCHO,199956.0,0.02,37.9,0.413,estable,0.683195245603955,18.234247,,,0.587,0.304
150119,LURIN,92921.0,0.032,30.51,0.312,mejorando,0.6909236767275179,18.264468,,,0.688,0.36
150120,MAGDALENA DEL MAR,88766.0,0.572,18.59,0.149,mejorando,0.833928546938114,0.782218,19.0,7358.0,0.851,0.712
150121,PUEBLO LIBRE,118001.0,0.602,25.15,0.238,empeorando,0.833694777634525,0.779682,271.0,6248.0,0.762,0.682
150122,MIRAFLORES,162481.0,0.642,58.6,0.697,mejorando,0.832639935121652,0.0855,249.0,7748.0,0.303,0.473
150123,PACHACAMAC,111856.0,0.022,29.05,0.292,mejorando,0.646310654710588,20.000896,,,0.708,0.365
150124,PUCUSANA,15687.0,0.011,39.59,0.436,mejorando,0.598939942109819,23.739385,,,0.564,0.288
150125,PUENTE PIEDRA,353979.0,0.099,24.92,0.235,mejorando,0.663262891283656,22.678988,,,0.765,0.432
150126,PUNTA HERMOSA,8625.0,0.005,49.39,0.571,mejorando,0.695988914082151,19.183087,,,0.429,0.217
150127,PUNTA NEGRA,8174.0,0.007,26.18,0.253,mejorando,0.699762357034694,14.288621,,,0.747,0.377
150128,RIMAC,222981.0,0.357,39.73,0.438,mejorando,0.73000365063685,11.429909,,,0.562,0.46
150129,SAN BARTOLO,8583.0,0.012,49.28,0.569,estable,0.723833590108303,13.336333,,,0.431,0.222
150130,SAN BORJA,151008.0,0.373,32.36,0.337,estable,0.8236163632543219,0.463208,286.0,6331.0,0.663,0.518
150131,SAN ISIDRO,91723.0,0.425,44.97,0.51,mejorando,0.788832417484799,0.0573463,263.0,8118.0,0.49,0.458
150132,SAN JUAN DE LURIGANCHO,1112394.0,0.164,27.62,0.272,mejorando,0.701053025277506,17.70394,81.0,2965.0,0.728,0.446
150133,SAN JUAN DE MIRAFLORES,452124.0,0.373,23.0,0.209,mejorando,0.728999853494788,15.18192,,,0.791,0.582
150134,SAN LUIS,76335.0,0.355,31.81,0.33,estable,0.793258130684492,5.473567,,,0.67,0.512
150135,SAN MARTIN DE PORRES,711801.0,0.593,21.73,0.192,mejorando,0.741997963067072,10.343179,135.0,2773.0,0.808,0.7
150136,SAN MIGUEL,178264.0,0.533,21.92,0.194,mejorando,0.822400649705728,1.581726,263.0,5853.0,0.806,0.67
150138,SANTA MARIA DEL MAR,1738.0,0.006,25.32,0.241,mejorando,0.746659738921973,7.065562,,,0.759,0.382
150139,SANTA ROSA,21775.0,0.013,27.19,0.266,mejorando,0.6605773559814458,22.028653,,,0.734,0.374
150140,SANTIAGO DE SURCO,421099.0,0.382,31.57,0.326,mejorando,0.8017574897902349,1.231283,210.0,5606.0,0.674,0.528
150141,SURQUILLO,122954.0,0.648,28.51,0.285,mejorando,0.8171136689103559,2.747559,284.0,6566.0,0.715,0.682
150142,VILLA EL SALVADOR,468762.0,0.252,26.77,0.261,estable,0.699048123285756,20.166089,,,0.739,0.496
150143,VILLA MARIA DEL TRIUNFO,487189.0,0.101,28.29,0.282,mejorando,0.6898119945801259,16.823515,,,0.718,0.41
