attribute_name,description,data_type,source_or_transformation,missing_value_policy
listing_id,Unique listing identifier,string,Week 4 Urbania feature store,Must be present
source,Portal source,string,Week 4 Urbania feature store,Must be present
district,District label,string,Normalized from Urbania and INEI,Must be present
ubigeo,INEI district code,string,Week 4 join key,Must be present
address,Published textual address,string,Urbania,May be coarse or redacted
urbanization,Published urbanization,string,Urbania,Keep missing if observed
price_soles,Published offer price in PEN,float,Urbania,Target; must be present
area_m2,Total property area,float,Urbania,Required predictor; must be present
price_per_m2,Published price divided by area,float,Week 4 transformation,Derived only when price and area exist
rooms,Number of bedrooms,integer,Urbania,Keep missing if observed
bathrooms,Number of bathrooms,integer,Urbania,Keep missing if observed
parking,Number of parking spaces,integer,Urbania,Keep missing if observed
maintenance_fee,Monthly maintenance fee in PEN,float,Urbania,Zero may mean unreported
photos_count,Number of published photos,integer,Urbania,Keep missing if observed
district_median_price_m2,District offer-price baseline,float,Week 4 derived table,Review for leakage before modeling
baseline_price_soles,District baseline times area,float,Week 4 transformation,Diagnostic only
opportunity_score_baseline,Baseline opportunity score,float,Week 4 transformation,Diagnostic; not leakage-free target
bcrp_price_m2_usd,External district offer-price reference,float,BCRP,Structural missingness outside 12 districts
bcrp_price_rent_ratio,Price-to-rent reference,float,BCRP,Structural missingness outside 12 districts
proyectos_nuevos_distrito,Registered MIVIVIENDA projects count,integer,Fondo MIVIVIENDA,Zero means not registered in program
unidades_nuevas_distrito,Registered available units,integer,Fondo MIVIVIENDA,Zero means not registered in program
crime_index_zone,Normalized reported-crime context score,float,SIDPOL/MININTER,Declare source coverage and bias
crime_trend_zone,Reported-crime trend,string,SIDPOL/MININTER,Keep source category
urban_convenience_index,POI density context score,float,OpenStreetMap,Declare mapping bias
zone_composite_index,Current two-component zone score,float,Derived from safety and convenience,Mark incomplete until visual component exists
idh_2019,District human development index,float,INEI,Context variable
pct_pobreza_total,District poverty percentage,float,INEI,Context variable
log_price_soles,Natural log of offer price,float,Week 6 transformation,Created for regression
log_area_m2,Natural log of area,float,Week 6 transformation,Created for regression
data_partial,Whether structural reference data is missing,boolean,Week 6 derived flag,True is shown explicitly
